INTERPOLATION:DISCRETE
031,159,128,255,255,Jan 2022
059,223,128,255,255,Feb 2022
090,255,128,223,255,Mar 2022
120,255,128,159,255,Apr 2022
151,255,176,127,255,May 2022
181,255,223,128,255,Jun 2022
212,223,255,128,255,Jul 2022
243,159,255,128,255,Aug 2022
273,109,220,141,255,Sep 2022
304,128,255,223,255,Oct 2022
334,128,223,255,255,Nov 2022
365,127,189,255,255,Dec 2022
031, 64,  0,255,255,Jan 2023
059,191,  0,255,255,Feb 2023
090,255,  0,191,255,Mar 2023
120,255,  0, 64,255,Apr 2023
151,255,100,  0,255,May 2023
181,255,191,  0,255,Jun 2023
212,191,255,  0,255,Jul 2023
243, 64,255,  0,255,Aug 2023
273,  0,220, 64,255,Sep 2023
304,  0,255,191,255,Oct 2023
334,  0,191,255,255,Nov 2023
365,  0,120,255,255,Dec 2023
031,159,128,255,255,Jan 2024
060,223,128,255,255,Feb 2024
091,255,128,223,255,Mar 2024
121,255,128,159,255,Apr 2024
152,255,176,127,255,May 2024
182,255,223,128,255,Jun 2024
213,223,255,128,255,Jul 2024
244,159,255,128,255,Aug 2024
274,109,220,141,255,Sep 2024
305,128,255,223,255,Oct 2024
335,128,223,255,255,Nov 2024
366,127,189,255,255,Dec 2024
