INTERPOLATION:DISCRETE
23031,159,128,255,255,Jan 2023
23059,223,128,255,255,Feb 2023
23090,255,128,223,255,Mar 2023
23120,255,128,159,255,Apr 2023
23151,255,176,127,255,May 2023
23181,255,223,128,255,Jun 2023
23212,223,255,128,255,Jul 2023
23243,159,255,128,255,Aug 2023
23273,109,220,141,255,Sep 2023
23304,128,255,223,255,Oct 2023
23334,128,223,255,255,Nov 2023
23365,127,189,255,255,Dec 2023
24031, 64,  0,255,255,Jan 2024
24059,191,  0,255,255,Feb 2024
24090,255,  0,191,255,Mar 2024
24120,255,  0, 64,255,Apr 2024
24151,255,100,  0,255,May 2024
24181,255,191,  0,255,Jun 2024
24212,191,255,  0,255,Jul 2024
24243, 64,255,  0,255,Aug 2024
24273,  0,220, 64,255,Sep 2024
24304,  0,255,191,255,Oct 2024
24334,  0,191,255,255,Nov 2024
24365,  0,120,255,255,Dec 2024
25031,159,128,255,255,Jan 2025
25060,223,128,255,255,Feb 2025
25091,255,128,223,255,Mar 2025
25121,255,128,159,255,Apr 2025
25152,255,176,127,255,May 2025
25182,255,223,128,255,Jun 2025
25213,223,255,128,255,Jul 2025
25244,159,255,128,255,Aug 2025
25274,109,220,141,255,Sep 2025
25305,128,255,223,255,Oct 2025
25335,128,223,255,255,Nov 2025
25366,127,189,255,255,Dec 2025
